state,voter_id,age,gender,candidate_preference,pollster_rating_name,pollscore,sample_size,days_to_election
Alabama,1,35,Male,Harris,RMG Research,-0.4,611,9
Alabama,2,77,Female,Harris,RMG Research,-0.3,803,10
Alabama,3,59,Other,Trump,RMG Research,-0.4,934,4
Alabama,4,78,Male,Trump,RMG Research,-0.3,538,15
Alabama,5,95,Other,Harris,InsiderAdvantage,-0.4,880,5
Alabama,6,34,Female,Trump,InsiderAdvantage,-0.4,971,23
Alabama,7,79,Male,Harris,InsiderAdvantage,-0.4,546,26
Alabama,8,60,Male,Harris,InsiderAdvantage,-0.4,617,7
Alabama,9,22,Female,Trump,RMG Research,-0.4,651,15
Alabama,10,32,Female,Harris,RMG Research,-0.3,523,15
Alabama,11,95,Male,Trump,RMG Research,-0.4,751,6
Alabama,12,31,Female,Trump,InsiderAdvantage,-0.4,544,7
Alabama,13,23,Male,Harris,InsiderAdvantage,-0.3,579,30
Alabama,14,99,Female,Harris,RMG Research,-0.4,584,17
Alabama,15,96,Female,Harris,InsiderAdvantage,-0.3,647,6
Alabama,16,53,Female,Trump,InsiderAdvantage,-0.3,576,6
Alabama,17,99,Male,Harris,InsiderAdvantage,-0.4,527,9
Alabama,18,61,Male,Harris,RMG Research,-0.4,909,12
Alabama,19,30,Male,Harris,InsiderAdvantage,-0.4,872,6
Alabama,20,94,Female,Harris,InsiderAdvantage,-0.3,747,10
Alabama,21,85,Female,Trump,InsiderAdvantage,-0.3,745,6
Alabama,22,59,Female,Trump,RMG Research,-0.3,926,8
Alabama,23,64,Female,Harris,RMG Research,-0.4,879,21
Alabama,24,34,Male,Harris,InsiderAdvantage,-0.3,533,30
Alabama,25,81,Female,Trump,RMG Research,-0.3,898,23
Alabama,26,94,Female,Harris,InsiderAdvantage,-0.4,645,29
Alabama,27,64,Male,Trump,InsiderAdvantage,-0.3,583,9
Alabama,28,73,Female,Harris,RMG Research,-0.4,676,17
Alabama,29,46,Female,Harris,RMG Research,-0.3,962,3
Alabama,30,65,Female,Harris,RMG Research,-0.4,934,9
Alabama,31,65,Female,Trump,InsiderAdvantage,-0.3,618,23
Alabama,32,45,Female,Harris,InsiderAdvantage,-0.3,838,23
Alabama,33,20,Male,Harris,RMG Research,-0.3,854,1
Alabama,34,44,Male,Trump,RMG Research,-0.3,659,8
Alabama,35,93,Female,Trump,RMG Research,-0.4,592,26
Alabama,36,83,Male,Trump,InsiderAdvantage,-0.3,656,22
Alabama,37,41,Male,Harris,RMG Research,-0.4,673,9
Alabama,38,63,Female,Harris,InsiderAdvantage,-0.3,520,14
Alabama,39,96,Other,Trump,RMG Research,-0.4,781,23
Alabama,40,20,Female,Trump,InsiderAdvantage,-0.4,506,23
Alabama,41,34,Male,Trump,RMG Research,-0.4,677,14
Alabama,42,24,Female,Harris,RMG Research,-0.3,728,12
Alabama,43,35,Female,Trump,RMG Research,-0.3,582,20
Alabama,44,21,Male,Trump,RMG Research,-0.3,698,11
Alabama,45,97,Male,Trump,RMG Research,-0.3,865,22
Alabama,46,34,Male,Harris,RMG Research,-0.3,910,16
Alabama,47,54,Male,Harris,InsiderAdvantage,-0.3,720,27
Alabama,48,24,Other,Trump,RMG Research,-0.4,923,30
Alabama,49,79,Male,Trump,InsiderAdvantage,-0.4,817,2
Alabama,50,53,Female,Trump,RMG Research,-0.3,979,12
Alabama,51,86,Female,Trump,InsiderAdvantage,-0.4,507,19
Alabama,52,58,Male,Trump,InsiderAdvantage,-0.4,570,22
Alabama,53,72,Female,Harris,RMG Research,-0.4,971,13
Alabama,54,77,Male,Harris,RMG Research,-0.3,642,14
Alabama,55,40,Female,Trump,RMG Research,-0.3,720,4
Alabama,56,88,Male,Harris,RMG Research,-0.3,790,2
Alabama,57,38,Female,Harris,RMG Research,-0.4,761,4
Alabama,58,54,Female,Trump,RMG Research,-0.3,751,29
Alabama,59,27,Male,Trump,RMG Research,-0.3,698,5
Alabama,60,31,Male,Harris,InsiderAdvantage,-0.3,580,2
Alabama,61,45,Male,Harris,RMG Research,-0.3,855,6
Alabama,62,96,Female,Trump,InsiderAdvantage,-0.3,705,2
Alabama,63,39,Female,Harris,InsiderAdvantage,-0.4,646,19
Alabama,64,26,Female,Trump,RMG Research,-0.4,771,4
Alabama,65,64,Male,Harris,InsiderAdvantage,-0.3,618,13
Alabama,66,19,Other,Trump,RMG Research,-0.4,739,6
Alabama,67,67,Male,Trump,InsiderAdvantage,-0.4,658,4
Alabama,68,37,Male,Trump,RMG Research,-0.4,746,12
Alabama,69,81,Male,Trump,InsiderAdvantage,-0.3,845,27
Alabama,70,100,Male,Trump,InsiderAdvantage,-0.3,933,1
Alabama,71,32,Male,Harris,InsiderAdvantage,-0.4,661,20
Alabama,72,34,Male,Trump,RMG Research,-0.3,653,11
Alabama,73,29,Male,Harris,InsiderAdvantage,-0.3,722,13
Alabama,74,21,Male,Trump,RMG Research,-0.4,874,10
Alabama,75,40,Male,Harris,RMG Research,-0.4,850,25
Alabama,76,88,Female,Trump,RMG Research,-0.4,764,16
Alabama,77,94,Other,Harris,RMG Research,-0.4,1000,22
Alabama,78,93,Female,Trump,RMG Research,-0.4,625,24
Alabama,79,74,Female,Trump,InsiderAdvantage,-0.3,752,25
Alabama,80,97,Male,Harris,RMG Research,-0.3,681,5
Alabama,81,35,Female,Trump,InsiderAdvantage,-0.4,692,20
Alabama,82,62,Female,Trump,RMG Research,-0.4,971,18
Alabama,83,97,Female,Harris,InsiderAdvantage,-0.3,967,15
