state,pollster_rating_name,pollscore,candidate_name,pct,sample_size,start_date,end_date,days_to_election,recency_weight,total_weight,pollster_reliability_adjustment
Wisconsin,RMG Research,-0.4,Kamala Harris,49,787,10/10/24,10/16/24,20,0.05,-15.740000000000002,-0.1
Wisconsin,RMG Research,-0.4,Donald Trump,50,787,10/10/24,10/16/24,20,0.05,-15.740000000000002,-0.1
Michigan,RMG Research,-0.4,Kamala Harris,49,789,10/10/24,10/16/24,20,0.05,-15.780000000000001,-0.1
Michigan,RMG Research,-0.4,Donald Trump,49,789,10/10/24,10/16/24,20,0.05,-15.780000000000001,-0.1
Georgia,InsiderAdvantage,-0.3,Kamala Harris,47,800,10/14/24,10/15/24,21,0.047619047619047616,-11.428571428571427,-0.1
Georgia,InsiderAdvantage,-0.3,Donald Trump,49,800,10/14/24,10/15/24,21,0.047619047619047616,-11.428571428571427,-0.1
Arizona,Morning Consult,-0.3,Kamala Harris,49,653,10/6/24,10/15/24,21,0.047619047619047616,-9.32857142857143,-0.1
Arizona,Morning Consult,-0.3,Donald Trump,48,653,10/6/24,10/15/24,21,0.047619047619047616,-9.32857142857143,-0.1
Georgia,Morning Consult,-0.3,Kamala Harris,48,1002,10/6/24,10/15/24,21,0.047619047619047616,-14.314285714285711,-0.1
Georgia,Morning Consult,-0.3,Donald Trump,49,1002,10/6/24,10/15/24,21,0.047619047619047616,-14.314285714285711,-0.1
Maryland,Morning Consult,-0.3,Kamala Harris,64,490,10/6/24,10/15/24,21,0.047619047619047616,-7,-0.1
Maryland,Morning Consult,-0.3,Donald Trump,31,490,10/6/24,10/15/24,21,0.047619047619047616,-7,-0.1
Michigan,Morning Consult,-0.3,Kamala Harris,49,1065,10/6/24,10/15/24,21,0.047619047619047616,-15.214285714285714,-0.1
Michigan,Morning Consult,-0.3,Donald Trump,47,1065,10/6/24,10/15/24,21,0.047619047619047616,-15.214285714285714,-0.1
Nevada,Morning Consult,-0.3,Kamala Harris,49,496,10/6/24,10/15/24,21,0.047619047619047616,-7.0857142857142845,-0.1
Nevada,Morning Consult,-0.3,Donald Trump,45,496,10/6/24,10/15/24,21,0.047619047619047616,-7.0857142857142845,-0.1
North Carolina,Morning Consult,-0.3,Kamala Harris,48,1072,10/6/24,10/15/24,21,0.047619047619047616,-15.314285714285711,-0.1
North Carolina,Morning Consult,-0.3,Donald Trump,49,1072,10/6/24,10/15/24,21,0.047619047619047616,-15.314285714285711,-0.1
Ohio,Morning Consult,-0.3,Kamala Harris,45,1243,10/6/24,10/15/24,21,0.047619047619047616,-17.757142857142856,-0.1
Ohio,Morning Consult,-0.3,Donald Trump,52,1243,10/6/24,10/15/24,21,0.047619047619047616,-17.757142857142856,-0.1
Pennsylvania,Morning Consult,-0.3,Kamala Harris,49,1395,10/6/24,10/15/24,21,0.047619047619047616,-19.928571428571427,-0.1
Pennsylvania,Morning Consult,-0.3,Donald Trump,48,1395,10/6/24,10/15/24,21,0.047619047619047616,-19.928571428571427,-0.1
Texas,Morning Consult,-0.3,Kamala Harris,46,2048,10/6/24,10/15/24,21,0.047619047619047616,-29.257142857142853,-0.1
Texas,Morning Consult,-0.3,Donald Trump,50,2048,10/6/24,10/15/24,21,0.047619047619047616,-29.257142857142853,-0.1
Wisconsin,Morning Consult,-0.3,Kamala Harris,47,527,10/6/24,10/15/24,21,0.047619047619047616,-7.528571428571428,-0.1
Wisconsin,Morning Consult,-0.3,Donald Trump,48,527,10/6/24,10/15/24,21,0.047619047619047616,-7.528571428571428,-0.1
Michigan,Mitchell Research & Communications,-0.2,Kamala Harris,47,589,10/14/24,10/14/24,22,0.045454545454545456,-5.354545454545455,-0
Michigan,Mitchell Research & Communications,-0.2,Donald Trump,47,589,10/14/24,10/14/24,22,0.045454545454545456,-5.354545454545455,-0
Michigan,Mitchell Research & Communications,-0.2,Jill Stein,1,589,10/14/24,10/14/24,22,0.045454545454545456,-5.354545454545455,-0
Michigan,Mitchell Research & Communications,-0.2,Chase Oliver,1,589,10/14/24,10/14/24,22,0.045454545454545456,-5.354545454545455,-0
Michigan,Mitchell Research & Communications,-0.2,Robert F. Kennedy,0,589,10/14/24,10/14/24,22,0.045454545454545456,-5.354545454545455,-0
Michigan,Mitchell Research & Communications,-0.2,Cornel West,0,589,10/14/24,10/14/24,22,0.045454545454545456,-5.354545454545455,-0
Michigan,Mitchell Research & Communications,-0.2,Kamala Harris,47.4,589,10/14/24,10/14/24,22,0.045454545454545456,-5.354545454545455,-0
Michigan,Mitchell Research & Communications,-0.2,Donald Trump,48.5,589,10/14/24,10/14/24,22,0.045454545454545456,-5.354545454545455,-0
Wisconsin,Patriot Polling,0.6,Kamala Harris,49,803,10/12/24,10/14/24,22,0.045454545454545456,21.9,0.1
Wisconsin,Patriot Polling,0.6,Donald Trump,50,803,10/12/24,10/14/24,22,0.045454545454545456,21.9,0.1
California,Emerson College,-1.1,Kamala Harris,61,1000,10/12/24,10/14/24,22,0.045454545454545456,-50,-0.2
California,Emerson College,-1.1,Donald Trump,36.6,1000,10/12/24,10/14/24,22,0.045454545454545456,-50,-0.2
North Carolina,Redfield & Wilton Strategies,0.4,Kamala Harris,46,620,10/12/24,10/14/24,22,0.045454545454545456,11.272727272727273,0.1
North Carolina,Redfield & Wilton Strategies,0.4,Donald Trump,48,620,10/12/24,10/14/24,22,0.045454545454545456,11.272727272727273,0.1
North Carolina,Redfield & Wilton Strategies,0.4,Chase Oliver,1,620,10/12/24,10/14/24,22,0.045454545454545456,11.272727272727273,0.1
North Carolina,Redfield & Wilton Strategies,0.4,Jill Stein,0,620,10/12/24,10/14/24,22,0.045454545454545456,11.272727272727273,0.1
Arizona,Redfield & Wilton Strategies,0.4,Kamala Harris,46,1141,10/12/24,10/14/24,22,0.045454545454545456,20.745454545454546,0.1
Arizona,Redfield & Wilton Strategies,0.4,Donald Trump,48,1141,10/12/24,10/14/24,22,0.045454545454545456,20.745454545454546,0.1
Arizona,Redfield & Wilton Strategies,0.4,Chase Oliver,1,1141,10/12/24,10/14/24,22,0.045454545454545456,20.745454545454546,0.1
Arizona,Redfield & Wilton Strategies,0.4,Jill Stein,1,1141,10/12/24,10/14/24,22,0.045454545454545456,20.745454545454546,0.1
Florida,Redfield & Wilton Strategies,0.4,Kamala Harris,44,1009,10/12/24,10/14/24,22,0.045454545454545456,18.345454545454547,0.1
Florida,Redfield & Wilton Strategies,0.4,Donald Trump,50,1009,10/12/24,10/14/24,22,0.045454545454545456,18.345454545454547,0.1
Florida,Redfield & Wilton Strategies,0.4,Chase Oliver,0,1009,10/12/24,10/14/24,22,0.045454545454545456,18.345454545454547,0.1
