"state","candidate_name","pollster_rating_name","predicted_pct"
"Wisconsin","Kamala Harris","RMG Research",48.9317017712826
"Wisconsin","Donald Trump","RMG Research",46.4356987091558
"Michigan","Kamala Harris","RMG Research",48.9985624738357
"Michigan","Donald Trump","RMG Research",46.4305451044669
"Texas","Kamala Harris","ActiVote",50.679544835637
"Texas","Donald Trump","ActiVote",48.2645740346592
"Tennessee","Kamala Harris","ActiVote",50.7112935769219
"Tennessee","Donald Trump","ActiVote",48.2587475368883
"Massachusetts","Kamala Harris","ActiVote",50.8544020288689
"Massachusetts","Donald Trump","ActiVote",48.2660178231808
"Georgia","Kamala Harris","InsiderAdvantage",48.5161866658618
"Georgia","Donald Trump","InsiderAdvantage",46.0116236869344
"Arizona","Kamala Harris","Morning Consult",47.1686251130323
"Arizona","Donald Trump","Morning Consult",44.7644057386523
"Georgia","Kamala Harris","Morning Consult",47.2956051674769
"Georgia","Donald Trump","Morning Consult",44.6034343081394
"Maryland","Kamala Harris","Morning Consult",47.2239471002096
"Maryland","Donald Trump","Morning Consult",44.7314196081868
"Michigan","Kamala Harris","Morning Consult",47.2914598898784
"Michigan","Donald Trump","Morning Consult",44.6102585101934
"Nevada","Kamala Harris","Morning Consult",47.2689085412877
"Nevada","Donald Trump","Morning Consult",44.6980757652014
"North Carolina","Kamala Harris","Morning Consult",47.0115848089286
"North Carolina","Donald Trump","Morning Consult",44.7513838424182
"Ohio","Kamala Harris","Morning Consult",47.4117403613519
"Ohio","Donald Trump","Morning Consult",44.7261586868216
"Pennsylvania","Kamala Harris","Morning Consult",47.4982560409489
"Pennsylvania","Donald Trump","Morning Consult",44.6736549854195
"Texas","Kamala Harris","Morning Consult",47.4294037544622
"Texas","Donald Trump","Morning Consult",44.8369427735823
"Wisconsin","Kamala Harris","Morning Consult",47.2361287198524
"Wisconsin","Donald Trump","Morning Consult",44.5458930847442
"Michigan","Kamala Harris","Mitchell Research & Communications",46.4512165200766
"Michigan","Donald Trump","Mitchell Research & Communications",43.665308644716
"Michigan","Jill Stein","Mitchell Research & Communications",0.714588362147655
"Michigan","Chase Oliver","Mitchell Research & Communications",0.781422006913287
