state,pollster_rating_name,state_effect
Alabama,John Zogby Strategies,55.6
Alabama,WPA Intelligence,57
Alaska,Alaska Survey Research,45.6
Alaska,Cygnal,48
Alaska,Data for Progress,53
Alaska,John Zogby Strategies,47.6
Arizona,AtlasIntel,49.2
Arizona,Beacon Research/Shaw & Co. Research,48.3
Arizona,Bendixen & Amandi International,44
Arizona,Blueprint Polling,39.5
Arizona,CNN,46.5
Arizona,Data Orbital,43.4
Arizona,Echelon Insights,46.8
Arizona,Emerson College,46.8
Arizona,Fabrizio Lee & Associates/Impact Research,48.2
Arizona,"Fabrizio, Lee & Associates",46.2
Arizona,"Fabrizio, Lee & Associates/McLaughlin & Associates",47.5
Arizona,Global Strategy Group/GBAO (Navigator Research),46.5
Arizona,HighGround Inc.,44.8
Arizona,InsiderAdvantage,47.5
Arizona,J.L. Partners,44.5
Arizona,John Zogby Strategies,45.5
Arizona,Kaplan Strategies,47
Arizona,Marist College,49.2
Arizona,Moore Information Group,43
Arizona,Morning Consult,47
Arizona,National Research,46.5
Arizona,Noble Predictive Insights,43.5
Arizona,North Star Opinion Research,43.2
Arizona,OnMessage Inc.,46
Arizona,Patriot Polling,47.7
Arizona,Public Opinion Strategies,44.7
Arizona,Public Policy Polling,47.4
Arizona,RABA Research,39
Arizona,RMG Research,48
Arizona,Rasmussen Reports,47.3
Arizona,Redfield & Wilton Strategies,44.5
Arizona,Remington Research Group,49
Arizona,Spry Strategies,47.2
Arizona,Strategies 360,46.5
Arizona,Suffolk University,45.4
Arizona,TIPP Insights,46.6
Arizona,Targoz Market Research,53.5
Arizona,The New York Times/Siena College,45.8
Arizona,The Tyson Group,42.3
Arizona,Trafalgar Group,46.7
Arizona,Tulchin Research,42
Arizona,VCreek/AMG,42
Arizona,YouGov,48
Arkansas,Echelon Insights,58
Arkansas,Emerson College,56.6
Arkansas,Hendrix College,47.5
Arkansas,John Zogby Strategies,44.3
California,Emerson College,38.2
California,John Zogby Strategies,34.5
California,Public Policy Institute of California,32.2
California,University of California Berkeley Institute of Governmental Studies,35.5
Colorado,Blueprint Polling,43.1
Colorado,Emerson College,37
Colorado,Global Strategy Group,39
Colorado,John Zogby Strategies,35.2
Colorado,Keating Research,47.5
Colorado,McLaughlin & Associates,43.4
Colorado,Morning Consult,47.5
Colorado,Public Opinion Strategies,39
Colorado,YouGov,40
Connecticut,Emerson College,37.9
Connecticut,John Zogby Strategies,33.2
Connecticut,MassINC Polling Group,45
Connecticut,McLaughlin & Associates,38.6
Delaware,John Zogby Strategies,36.1
Delaware,Slingshot Strategies,45.5
Florida,Beacon Research/Shaw & Co. Research,48.5
Florida,Big Data Poll,50.7
Florida,Cherry Communications,48.5
Florida,Cygnal,45.7
Florida,Echelon Insights,49
Florida,Emerson College,49.6
Florida,Florida Atlantic University Business and Economics Polling Initiative,45.1
Florida,InsiderAdvantage,46
Florida,Ipsos,39
Florida,John Zogby Strategies,47.8
Florida,Marist College,49
Florida,Mason-Dixon Polling & Strategy,46
Florida,McLaughlin & Associates,48.2
Florida,Morning Consult,48.1
Florida,Public Policy Polling,47.6
Florida,RMG Research,49
Florida,Rasmussen Reports,49
Florida,Redfield & Wilton Strategies,45.5
Florida,St. Pete Polls,47.5
Florida,Suffolk University,45.3
Florida,Susquehanna Polling & Research Inc.,42
Florida,Targoz Market Research,44.5
Florida,Tarrance Group,47.5
Florida,The New York Times/Siena College,47.1
Florida,The Tyson Group,46
Florida,University of North Florida Public Opinion Research Lab,47
Florida,Victory Insights,48.4
Florida,YouGov,51.5
Georgia,AtlasIntel,49.2
Georgia,Beacon Research/Shaw & Co. Research,48.6
Georgia,Blueprint Polling,49.9
Georgia,CNN,46.5
Georgia,Cygnal,42
Georgia,East Carolina University Center for Survey Research,46.7
Georgia,Echelon Insights,47.8
Georgia,Emerson College,47.6
Georgia,Fabrizio Lee & Associates/Impact Research,46.5
Georgia,"Fabrizio, Lee & Associates",48
Georgia,"Fabrizio, Lee & Associates/McLaughlin & Associates",47.5
Georgia,InsiderAdvantage,46.6
Georgia,J.L. Partners,42.5
Georgia,John Zogby Strategies,42.7
Georgia,Landmark Communications,46.2
Georgia,Marist College,48.7
Georgia,Morning Consult,47.1
Georgia,North Star Opinion Research,45
Georgia,OnMessage Inc.,45.5
Georgia,Patriot Polling,48.6
Georgia,Public Opinion Strategies,43.7
Georgia,Public Policy Polling,47.5
Georgia,Quinnipiac University,47.5
Georgia,RMG Research,48.5
Georgia,Rasmussen Reports,47
Georgia,Redfield & Wilton Strategies,45.3
Georgia,Spry Strategies,48.3
Georgia,TIPP Insights,46.9
Georgia,Targoz Market Research,52
Georgia,The New York Times/Siena College,45.3
Georgia,The Tyson Group,44
Georgia,Trafalgar Group,45.5
Georgia,University of Georgia School of Public and International Affairs,46
Georgia,University of Massachusetts Lowell Center for Public Opinion,43
Georgia,YouGov,50.3
Georgia,Zogby Analytics,47.8
Hawaii,John Zogby Strategies,26.6
Idaho,Emerson College,54.5
Idaho,John Zogby Strategies,53.8
Illinois,Emerson College,36.4
Illinois,John Zogby Strategies,36.5
Illinois,Public Policy Polling,42
Indiana,Emerson College,50.2
Indiana,John Zogby Strategies,44.6
Indiana,Lake Research Partners,47
Iowa,Big Data Poll,42.1
Iowa,Cygnal,49.7
Iowa,Emerson College,47.5
Iowa,Harris Insights & Analytics,47
Iowa,John Zogby Strategies,44.9
Iowa,Selzer & Co.,47.8
Kansas,Echelon Insights,52
Kansas,Emerson College,49.6
Kansas,John Zogby Strategies,43.8
Kentucky,Emerson College,54.6
Kentucky,John Zogby Strategies,51.5
Kentucky,Public Policy Polling,55
Kentucky,co/efficient,57
Louisiana,Echelon Insights,51
Louisiana,John Zogby Strategies,51.2
Maine,Digital Research,41.8
Maine,Emerson College,40.1
Maine,John Zogby Strategies,37.1
Maine,Pan Atlantic Research,43
Maine,University of New Hampshire Survey Center,47.4
Maine CD-1,Digital Research,27
Maine CD-1,Pan Atlantic Research,45
Maine CD-1,University of New Hampshire Survey Center,48.2
Maine CD-2,Digital Research,42
Maine CD-2,Pan Atlantic Research,45.5
Maine CD-2,University of New Hampshire Survey Center,47
Maryland,Emerson College,38.2
Maryland,Fabrizio Lee & Associates/Impact Research,46
Maryland,Gonzales Research & Marketing Strategies Inc.,36.1
Maryland,John Zogby Strategies,33.7
Maryland,Morning Consult,47.6
Maryland,Public Policy Polling,39.8
Maryland,The Washington Post/University of Maryland Center for Democracy and Civic Engagement,47
Massachusetts,Emerson College,33.7
Massachusetts,John Zogby Strategies,33.3
Massachusetts,MassINC Polling Group,43.6
Massachusetts,Suffolk University,34
Massachusetts,University of Massachusetts Department of Political Science/YouGov,33.5
Massachusetts,University of Massachusetts Lowell Center for Public Opinion,31.5
Massachusetts,University of New Hampshire Survey Center,37.8
Michigan,AtlasIntel,48.7
Michigan,Beacon Research/Shaw & Co. Research,46
Michigan,Big Data Poll,43.9
Michigan,Blueprint Polling,40.6
Michigan,CNN,45
Michigan,Civiqs,46
Michigan,Cygnal,46.5
Michigan,EPIC-MRA,45.3
Michigan,Echelon Insights,47.3
Michigan,Emerson College,46.1
Michigan,Fabrizio Lee & Associates/Impact Research,46.6
Michigan,"Fabrizio, Lee & Associates",46.8
Michigan,"Fabrizio, Lee & Associates/McLaughlin & Associates",48.5
Michigan,Glengariff Group,43.6
Michigan,Global Strategy Group/GBAO (Navigator Research),45.2
Michigan,InsiderAdvantage,47.8
Michigan,John Zogby Strategies,44
Michigan,KAConsulting,43.5
Michigan,Kaplan Strategies,48.5
Michigan,Marist College,49
Michigan,Marketing Resource Group (MRG),41.3
Michigan,Mitchell Research & Communications,47
Michigan,Morning Consult,45.6
Michigan,North Star Opinion Research,43
Michigan,OnMessage Inc.,47
Michigan,Patriot Polling,48
Michigan,Public Opinion Strategies,44
Michigan,Public Policy Polling,45.3
Michigan,Quinnipiac University,47.6
